state,district,transaction_volume,transaction_amount
Uttar Pradesh,Jaunpur District,36246107,48807129865
Uttar Pradesh,Hapur District,26495955,33810306742
Uttar Pradesh,Meerut District,62400782,87172436119
Uttar Pradesh,Mathura District,60087548,76660773349
Uttar Pradesh,Mau District,21534441,26795689010
Uttar Pradesh,Mirzapur District,17197131,25102082422
Uttar Pradesh,Bulandshahr District,49118373,62281340172
Uttar Pradesh,Sant Kabir Nagar District,12952323,19642964468
Uttar Pradesh,Lakhimpur Kheri District,21281599,27016793383
Uttar Pradesh,Chandauli District,19414893,26415772258
Uttar Pradesh,Bhadohi District,9791119,12464312783
Uttar Pradesh,Sitapur District,17643983,24079752560
Uttar Pradesh,Sultanpur District,19409844,26279204705
Uttar Pradesh,Agra District,77992317,1.07307E+11
Uttar Pradesh,Firozabad District,29280778,39786907503
Uttar Pradesh,Gorakhpur District,56919483,77418899089
Uttar Pradesh,Unnao District,13852458,20528237980
Uttar Pradesh,Sonbhadra District,23473292,29353287024
Uttar Pradesh,Azamgarh District,40785042,54168056516
Uttar Pradesh,Ayodhya District,27401994,36722721033
Uttar Pradesh,Deoria District,36751633,47733126046
West Bengal,South Twenty Four Parganas District,76936211,1.18553E+11
West Bengal,Purba Bardhaman District,43690070,70602865584
West Bengal,Uttar Dinajpur District,37198721,61950132057
West Bengal,Kalimpong District,1847818,2646924444
West Bengal,Paschim Medinipur District,58238212,84317739854
West Bengal,Dakshin Dinajpur District,13106067,21452200306
West Bengal,Jalpaiguri District,20696406,27260366555
West Bengal,Purulia District,24755604,26562481159
West Bengal,North Twenty Four Parganas District,199005333,2.56651E+11
West Bengal,Bankura District,27187898,38703687103
West Bengal,Jhargram District,8887423,11463658026
West Bengal,Darjeeling District,27795067,40187454877
West Bengal,Cooch Behar District,33080526,42135373824
West Bengal,Howrah District,67496284,1.02576E+11
West Bengal,Hooghly District,59676576,90713828065
West Bengal,Alipurduar District,15875637,20992506730
West Bengal,Paschim Bardhaman District,56616799,69687350676
West Bengal,Nadia District,65274337,1.07932E+11
West Bengal,Birbhum District,36905213,57787007226
West Bengal,Purba Medinipur District,67833775,1.14277E+11
Arunachal Pradesh,Lower Subansiri District,1023776,1321086015
Arunachal Pradesh,Tirap District,552174,759347661
Arunachal Pradesh,Papum Pare District,2419497,2645782108
Arunachal Pradesh,Lower Siang District,376722,517668433
Arunachal Pradesh,West Kameng District,2107524,3219015374
Arunachal Pradesh,Shi Yomi District,70842,222983839
Arunachal Pradesh,East Kameng District,684487,899855147
Arunachal Pradesh,Lohit District,1024425,1233068373
Arunachal Pradesh,Lepa Rada District,351077,473147394
Arunachal Pradesh,Lower Dibang Valley District,785220,1038509731
Arunachal Pradesh,Longding District,353251,496519994
Arunachal Pradesh,West Siang District,1415567,1943675537
Arunachal Pradesh,Kamle District,159162,182583609
Arunachal Pradesh,Upper Siang District,333541,557498901
Arunachal Pradesh,Kurung Kumey District,128721,222368459
Arunachal Pradesh,Siang District,251400,368618246
Arunachal Pradesh,Kra Daadi District,167666,257207384
Arunachal Pradesh,Changlang District,1295250,1770311293
Arunachal Pradesh,Pakke Kessang District,109484,127336316
Arunachal Pradesh,East Siang District,1813239,2282781446
Arunachal Pradesh,Upper Subansiri District,768835,1249446759
Arunachal Pradesh,Tawang District,913556,1950022807
Arunachal Pradesh,Namsai District,1331993,1658212165
Manipur,Kangpokpi District,287443,671753012
Manipur,Noney District,106629,230224380
Manipur,Imphal East District,966637,1956254749
Manipur,Thoubal District,688052,1349542020
Manipur,Kakching District,184973,391001965
Manipur,Jiribam District,265628,470621340
Manipur,Ukhrul District,160974,397290639
Manipur,Tamenglong District,109836,227795707
Manipur,Kamjong District,31898,79812900
Manipur,Chandel District,98644,221603995
Manipur,Bishnupur District,515683,990434498
Manipur,Senapati District,239325,499464295
Manipur,Pherzawl District,3367,7246093
Manipur,Churachandpur District,354635,828380422
Manipur,Tengnoupal District,111403,276804609
Manipur,Imphal West District,1625296,3463477932
Meghalaya,North Garo Hills District,543797,586475145
Meghalaya,South West Khasi Hills District,89801,240282618
Meghalaya,West Garo Hills District,4143528,5152601208
Meghalaya,South Garo Hills District,324902,504767900
Meghalaya,East Jaintia Hills District,1425531,2475396493
Meghalaya,South West Garo Hills District,610251,844266197
Meghalaya,East Khasi Hills District,3878895,5645772842
Meghalaya,Ri Bhoi District,2181367,2701811047
Meghalaya,East Garo Hills District,487029,571641727
Meghalaya,West Jaintia Hills District,279038,558020232
Meghalaya,Eastern West Khasi Hills District,41495,68005298
Meghalaya,West Khasi Hills District,160746,325886726
Mizoram,Hnahthial District,27605,41064034
Mizoram,Serchhip District,95108,166070593
Mizoram,Aizawl District,1350823,2141964144
Mizoram,Lunglei District,263302,473202756
Mizoram,Mamit District,158152,275655302
Mizoram,Lawngtlai District,276664,437705884
Mizoram,Kolasib District,282243,468475911
Mizoram,Saitual District,60594,106773409
Mizoram,Champhai District,59405,126311186
Mizoram,Khawzawl District,23520,32716602
Nagaland,Mon District,409826,816426351
Nagaland,Phek District,162530,366279198
Nagaland,Longleng District,68500,137356405
Nagaland,Mokokchung District,472115,701974614
Nagaland,Tseminyu District,13059,28603115
Nagaland,Kiphire District,84142,189081853
Nagaland,Kohima District,1181332,2163481649
Nagaland,Chumoukedima District,1363576,2088719723
Nagaland,Noklak District,34614,84523164
Nagaland,Peren District,124298,217478206
Nagaland,Wokha District,233497,442050391
Nagaland,Niuland District,1077,1757758
Nagaland,Tuensang District,185147,354238474
Nagaland,Shamator District,19668,45705139
Nagaland,Dimapur District,3443239,6079532376
Nagaland,Zunheboto District,124932,241890260
Sikkim,Soreng District,402050,554534253
Sikkim,Gangtok District,4189043,6157550329
Tripura,Unakoti District,1026133,1389859103
Tripura,Khowai District,735106,1084422421
Tripura,Sepahijala District,1200788,1980457559
Tripura,North Tripura District,2256499,3385192279
Tripura,Dhalai District,1242489,1743448374
Tripura,South Tripura District,1316449,2168297021
Tripura,Gomati District,1298303,1927518450
Tripura,West Tripura District,6869392,8730710061
Chandigarh,Chandigarh District,18528444,20501385889
Delhi,South East District,128983826,1.26024E+11
Delhi,South District,70674362,66027330300
Delhi,Central District,107619638,1.39344E+11
Delhi,New Delhi District,104744325,1.0264E+11
Delhi,West District,118881603,1.49537E+11
Delhi,South West District,70519080,79546383777
Delhi,Shahdara District,47755577,69146883372
Delhi,North East District,45691738,66424920528
Delhi,East District,63608205,65423312249
Delhi,North West District,77349604,1.00468E+11
Delhi,North District,74715124,92479217684
Ladakh,Kargil District,1419677,2024160245
Lakshadweep,Lakshadweep District,197777,247756681
Andhra Pradesh,East Godavari District,96791979,1.47921E+11
Andhra Pradesh,Srikakulam District,68020232,1.04655E+11
Andhra Pradesh,Visakhapatnam District,229565019,3.02371E+11
Andhra Pradesh,Kurnool District,84094067,1.25401E+11
Andhra Pradesh,Guntur District,139286726,2.01755E+11
Andhra Pradesh,Krishna District,59157277,87816112495
Andhra Pradesh,Vizianagaram District,68941987,1.03241E+11
Andhra Pradesh,Nandyal District,65846099,1.07237E+11
Andhra Pradesh,Prakasam District,90937455,1.49042E+11
Andhra Pradesh,Bapatla District,50922968,79581355819
Andhra Pradesh,West Godavari District,80979438,1.26425E+11
Andhra Pradesh,Chittoor District,70763169,1.08341E+11
Goa,North Goa District,26783992,35201969661
Goa,South Goa District,19347544,21360619882
Himachal Pradesh,Solan District,13650425,11535086618
Himachal Pradesh,Sirmaur District,4559229,4776227590
Himachal Pradesh,Shimla District,5765185,7523643460
Himachal Pradesh,Bilaspur District,2015535,2566075260
Himachal Pradesh,Hamirpur District,2851801,3676061991
Himachal Pradesh,Una District,3199063,4477371259
Himachal Pradesh,Kangra District,9442757,12529791386
Himachal Pradesh,Lahaul And Spiti District,389879,629995128
Himachal Pradesh,Kullu District,4774123,6570028168
Himachal Pradesh,Mandi District,4035359,5285223835
Himachal Pradesh,Chamba District,2348303,2957493065
Himachal Pradesh,Kinnaur District,766739,1209998474
Uttarakhand,Bageshwar District,962688,1236054778
Uttarakhand,Udham Singh Nagar District,32482654,38200426492
Uttarakhand,Haridwar District,43649342,49025452513
Uttarakhand,Champawat District,1674229,2231805831
Uttarakhand,Nainital District,14922619,17847877397
Uttarakhand,Dehradun District,56035091,59151522772
Uttarakhand,Chamoli District,2393913,3242892836
Uttarakhand,Almora District,2830020,3704104601
Uttarakhand,Uttarkashi District,1650801,2281714675
Uttarakhand,Pithoragarh District,2801487,3601619131
Uttarakhand,Rudraprayag District,1769796,2533367447
Uttarakhand,Pauri Garhwal District,4973291,5931576893
Uttarakhand,Tehri Garhwal District,4990201,5920375593
